Local time,Open,High,Low,Close,Volume
13.10.2006 21:30:00.000 GMT+0530,1.24987,1.25028,1.24940,1.25020,0.051891000000000034
13.10.2006 21:35:00.000 GMT+0530,1.25025,1.25080,1.25008,1.25067,0.06231970000000011
13.10.2006 21:40:00.000 GMT+0530,1.25070,1.25075,1.25023,1.25046,0.04108340000000003
13.10.2006 21:45:00.000 GMT+0530,1.25051,1.25069,1.25018,1.25030,0.038413199999999995
13.10.2006 21:50:00.000 GMT+0530,1.25047,1.25053,1.25003,1.25030,0.04605189999999996
13.10.2006 21:55:00.000 GMT+0530,1.25029,1.25052,1.24997,1.25044,0.0391966
13.10.2006 22:00:00.000 GMT+0530,1.25037,1.25073,1.24994,1.25057,0.03717380000000001
13.10.2006 22:05:00.000 GMT+0530,1.25040,1.25050,1.24998,1.25014,0.02554559999999996
13.10.2006 22:10:00.000 GMT+0530,1.25029,1.25060,1.24996,1.25037,0.0280242
13.10.2006 22:15:00.000 GMT+0530,1.25046,1.25057,1.25010,1.25031,0.017075099999999996
13.10.2006 22:20:00.000 GMT+0530,1.25040,1.25049,1.24997,1.25041,0.026745799999999993
13.10.2006 22:25:00.000 GMT+0530,1.25034,1.25042,1.24984,1.25025,0.027432099999999963
16.10.2006 19:30:00.000 GMT+0530,1.25283,1.25296,1.25198,1.25232,0.0045738
16.10.2006 19:35:00.000 GMT+0530,1.25226,1.25255,1.25178,1.25242,0.0039051999999999997
16.10.2006 19:40:00.000 GMT+0530,1.25252,1.25263,1.25190,1.25211,0.0036924000000000024
16.10.2006 19:45:00.000 GMT+0530,1.25213,1.25240,1.25169,1.25228,0.0037362
16.10.2006 19:50:00.000 GMT+0530,1.25231,1.25249,1.25194,1.25194,0.0027923000000000015
16.10.2006 19:55:00.000 GMT+0530,1.25191,1.25230,1.25168,1.25193,0.0038632000000000002
16.10.2006 20:00:00.000 GMT+0530,1.25187,1.25202,1.25168,1.25173,0.0040224
16.10.2006 20:05:00.000 GMT+0530,1.25190,1.25244,1.25188,1.25225,0.0037908
16.10.2006 20:10:00.000 GMT+0530,1.25217,1.25245,1.25203,1.25230,0.0034941
16.10.2006 20:15:00.000 GMT+0530,1.25218,1.25239,1.25166,1.25205,0.003932500000000001
16.10.2006 20:20:00.000 GMT+0530,1.25225,1.25233,1.25160,1.25196,0.0031324
16.10.2006 20:25:00.000 GMT+0530,1.25173,1.25201,1.25154,1.25156,0.003214900000000001
17.10.2006 07:30:00.000 GMT+0530,1.25345,1.25356,1.25306,1.25343,0.0051909999999999994
17.10.2006 07:35:00.000 GMT+0530,1.25338,1.25350,1.25292,1.25322,0.0040991000000000005
17.10.2006 07:40:00.000 GMT+0530,1.25357,1.25360,1.25294,1.25345,0.003932600000000002
17.10.2006 07:45:00.000 GMT+0530,1.25342,1.25354,1.25301,1.25330,0.003837099999999999
17.10.2006 07:50:00.000 GMT+0530,1.25325,1.25332,1.25291,1.25320,0.002908300000000001
17.10.2006 07:55:00.000 GMT+0530,1.25309,1.25331,1.25285,1.25313,0.004381500000000003
17.10.2006 08:00:00.000 GMT+0530,1.25315,1.25333,1.25280,1.25293,0.004954099999999999
17.10.2006 08:05:00.000 GMT+0530,1.25304,1.25327,1.25278,1.25308,0.0038941999999999996
17.10.2006 08:10:00.000 GMT+0530,1.25288,1.25323,1.25281,1.25310,0.003896100000000001
17.10.2006 08:15:00.000 GMT+0530,1.25317,1.25338,1.25287,1.25303,0.0037434000000000013
17.10.2006 08:20:00.000 GMT+0530,1.25317,1.25340,1.25299,1.25325,0.003324899999999999
17.10.2006 08:25:00.000 GMT+0530,1.25316,1.25349,1.25293,1.25342,0.004134100000000002
17.10.2006 08:30:00.000 GMT+0530,1.25340,1.25354,1.25321,1.25325,0.003677700000000001
17.10.2006 08:35:00.000 GMT+0530,1.25334,1.25359,1.25312,1.25329,0.0040211000000000005
17.10.2006 08:40:00.000 GMT+0530,1.25324,1.25344,1.25288,1.25331,0.004058000000000001
17.10.2006 08:45:00.000 GMT+0530,1.25319,1.25345,1.25288,1.25330,0.0033561000000000025
17.10.2006 08:50:00.000 GMT+0530,1.25356,1.25367,1.25295,1.25325,0.003436700000000001
17.10.2006 08:55:00.000 GMT+0530,1.25334,1.25338,1.25295,1.25322,0.0036574999999999997
17.10.2006 09:00:00.000 GMT+0530,1.25317,1.25370,1.25301,1.25355,0.004239299999999999
17.10.2006 09:05:00.000 GMT+0530,1.25324,1.25369,1.25318,1.25356,0.0044153000000000005
17.10.2006 09:10:00.000 GMT+0530,1.25373,1.25381,1.25315,1.25342,0.0043067
17.10.2006 09:15:00.000 GMT+0530,1.25362,1.25377,1.25335,1.25350,0.0037954000000000013
17.10.2006 09:20:00.000 GMT+0530,1.25365,1.25376,1.25324,1.25350,0.0044913
17.10.2006 09:25:00.000 GMT+0530,1.25348,1.25375,1.25326,1.25346,0.004219599999999998
20.10.2006 09:30:00.000 GMT+0530,1.26349,1.26367,1.26322,1.26331,0.004098699999999999
20.10.2006 09:35:00.000 GMT+0530,1.26339,1.26352,1.26313,1.26326,0.004549700000000001
20.10.2006 09:40:00.000 GMT+0530,1.26321,1.26351,1.26312,1.26334,0.0041313
20.10.2006 09:45:00.000 GMT+0530,1.26335,1.26348,1.26310,1.26310,0.0042947
20.10.2006 09:50:00.000 GMT+0530,1.26335,1.26346,1.26299,1.26326,0.0043085
20.10.2006 09:55:00.000 GMT+0530,1.26335,1.26355,1.26300,1.26342,0.003697200000000002
20.10.2006 10:00:00.000 GMT+0530,1.26324,1.26351,1.26310,1.26331,0.0034934000000000015
20.10.2006 10:05:00.000 GMT+0530,1.26339,1.26366,1.26307,1.26333,0.003984200000000001
20.10.2006 10:10:00.000 GMT+0530,1.26333,1.26366,1.26320,1.26361,0.0036355000000000007
20.10.2006 10:15:00.000 GMT+0530,1.26345,1.26369,1.26314,1.26329,0.003980300000000001
20.10.2006 10:20:00.000 GMT+0530,1.26331,1.26376,1.26319,1.26358,0.004540000000000001
20.10.2006 10:25:00.000 GMT+0530,1.26359,1.26369,1.26306,1.26330,0.0033864
20.10.2006 10:30:00.000 GMT+0530,1.26335,1.26371,1.26305,1.26332,0.004153899999999999
20.10.2006 10:35:00.000 GMT+0530,1.26349,1.26370,1.26318,1.26352,0.003310300000000001
20.10.2006 10:40:00.000 GMT+0530,1.26357,1.26357,1.26309,1.26341,0.004003099999999999
20.10.2006 10:45:00.000 GMT+0530,1.26342,1.26351,1.26292,1.26315,0.0040507000000000026
20.10.2006 10:50:00.000 GMT+0530,1.26328,1.26367,1.26328,1.26357,0.004154799999999999
20.10.2006 10:55:00.000 GMT+0530,1.26357,1.26374,1.26330,1.26351,0.0038566000000000013
20.10.2006 11:00:00.000 GMT+0530,1.26358,1.26380,1.26333,1.26357,0.003989400000000001
20.10.2006 11:05:00.000 GMT+0530,1.26370,1.26387,1.26299,1.26316,0.003415100000000001
20.10.2006 11:10:00.000 GMT+0530,1.26330,1.26335,1.26280,1.26292,0.004121600000000002
20.10.2006 11:15:00.000 GMT+0530,1.26301,1.26316,1.26248,1.26271,0.0036244000000000024
20.10.2006 11:20:00.000 GMT+0530,1.26253,1.26280,1.26233,1.26245,0.0038836000000000014
20.10.2006 11:25:00.000 GMT+0530,1.26268,1.26273,1.26204,1.26248,0.0029208
20.10.2006 11:30:00.000 GMT+0530,1.26260,1.26272,1.26216,1.26249,0.003865700000000001
20.10.2006 11:35:00.000 GMT+0530,1.26266,1.26281,1.26233,1.26272,0.0037331000000000005
20.10.2006 11:40:00.000 GMT+0530,1.26253,1.26274,1.26234,1.26253,0.004258700000000001
20.10.2006 11:45:00.000 GMT+0530,1.26267,1.26285,1.26232,1.26257,0.003921800000000001
20.10.2006 11:50:00.000 GMT+0530,1.26252,1.26266,1.26224,1.26242,0.0037417
20.10.2006 11:55:00.000 GMT+0530,1.26242,1.26250,1.26192,1.26200,0.0028162999999999994
20.10.2006 12:00:00.000 GMT+0530,1.26199,1.26221,1.26180,1.26217,0.0040611000000000015
20.10.2006 12:05:00.000 GMT+0530,1.26233,1.26245,1.26208,1.26225,0.0039298
20.10.2006 12:10:00.000 GMT+0530,1.26212,1.26245,1.26181,1.26225,0.0043003000000000026
20.10.2006 12:15:00.000 GMT+0530,1.26228,1.26254,1.26200,1.26248,0.003841600000000001
20.10.2006 12:20:00.000 GMT+0530,1.26255,1.26298,1.26223,1.26281,0.0036359000000000005
20.10.2006 12:25:00.000 GMT+0530,1.26278,1.26291,1.26213,1.26229,0.0035769
20.10.2006 14:30:00.000 GMT+0530,1.26333,1.26344,1.26309,1.26327,0.0040101
20.10.2006 14:35:00.000 GMT+0530,1.26330,1.26330,1.26244,1.26244,0.004099500000000002
20.10.2006 14:40:00.000 GMT+0530,1.26262,1.26267,1.26222,1.26235,0.003857400000000002
20.10.2006 14:45:00.000 GMT+0530,1.26238,1.26249,1.26214,1.26236,0.0043124
20.10.2006 14:50:00.000 GMT+0530,1.26213,1.26234,1.26186,1.26186,0.0036964999999999984
20.10.2006 14:55:00.000 GMT+0530,1.26206,1.26221,1.26170,1.26195,0.003381400000000001
20.10.2006 15:00:00.000 GMT+0530,1.26196,1.26214,1.26176,1.26185,0.003644700000000001
20.10.2006 15:05:00.000 GMT+0530,1.26195,1.26221,1.26177,1.26196,0.0041597
20.10.2006 15:10:00.000 GMT+0530,1.26183,1.26217,1.26176,1.26185,0.0042292000000000015
20.10.2006 15:15:00.000 GMT+0530,1.26195,1.26214,1.26184,1.26193,0.0030234999999999993
20.10.2006 15:20:00.000 GMT+0530,1.26167,1.26186,1.26099,1.26109,0.0041138
20.10.2006 15:25:00.000 GMT+0530,1.26116,1.26121,1.26025,1.26025,0.0029516
20.10.2006 19:30:00.000 GMT+0530,1.26202,1.26202,1.26057,1.26079,0.0046031
20.10.2006 19:35:00.000 GMT+0530,1.26071,1.26108,1.26068,1.26108,0.004259599999999998
20.10.2006 19:40:00.000 GMT+0530,1.26107,1.26120,1.26073,1.26097,0.003900800000000002
20.10.2006 19:45:00.000 GMT+0530,1.26093,1.26101,1.26041,1.26064,0.003158300000000001
20.10.2006 19:50:00.000 GMT+0530,1.26070,1.26132,1.26046,1.26124,0.0028127
20.10.2006 19:55:00.000 GMT+0530,1.26122,1.26130,1.26080,1.26103,0.003703600000000001
20.10.2006 20:00:00.000 GMT+0530,1.26107,1.26114,1.26075,1.26078,0.003978500000000001
20.10.2006 20:05:00.000 GMT+0530,1.26077,1.26083,1.25985,1.25999,0.004181900000000001
20.10.2006 20:10:00.000 GMT+0530,1.26009,1.26046,1.26006,1.26038,0.003809299999999999
20.10.2006 20:15:00.000 GMT+0530,1.26017,1.26055,1.26007,1.26043,0.003986100000000001
20.10.2006 20:20:00.000 GMT+0530,1.26035,1.26050,1.25975,1.26017,0.0037242999999999985
